sample-id	Name-sample	Name-experiment	Age-days	Body-site	days_since_experiment_start	group_experiment
M5172	PEYERMICE16D-FECES1	PEYERMICE-FECES1	D16	Feces	16	16_Feces
M5640	PEYERMICE16D-FECES2	PEYERMICE-FECES2	D16	Feces	16	16_Feces
M5660	PEYERMICE16D-FECES3	PEYERMICE-FECES3	D16	Feces	16	16_Feces
M6360	WT060218 16J Feces	WT060218 Feces	D16	Feces	16	16_Feces
M6364	WT070218 16J Feces	WT070218 Feces	D16	Feces	16	16_Feces
M6408	WT200218 19J Feces	WT200218 Feces	D19	Feces	19	19_Feces
M6933	WT100518 D19 F 2	WT100518 F 2	D19	Feces	19	19_Feces
M6368	WT060218 19J Feces	WT060218 Feces	D19	Feces	19	19_Feces
M6372	WT070218 19J Feces	WT070218 Feces	D19	Feces	19	19_Feces
M5176	PEYERMICE21D-FECES1	PEYERMICE-FECES1	D21	Feces	21	21_Feces
M5644	PEYERMICE21D-FECES2	PEYERMICE-FECES2	D21	Feces	21	21_Feces
M5664	PEYERMICE21D-FECES3	PEYERMICE-FECES3	D21	Feces	21	21_Feces
M6376	WT060218 21J Feces	WT060218 Feces	D21	Feces	21	21_Feces
M6380	WT070218 21J Feces	WT070218 Feces	D21	Feces	21	21_Feces
M6937	WT100518 21d Feces	WT100518 Feces	D21	Feces	21	21_Feces
M6384	WT060218 23J Feces	WT060218 Feces	D23	Feces	23	23_Feces
M6388	WT070218 23J Feces	WT070218 Feces	D23	Feces	23	23_Feces
M6412	WT190218 23J Feces	WT190218 Feces	D23	Feces	23	23_Feces
M6416	WT200218 23J Feces	WT200218 Feces	D23	Feces	23	23_Feces
M6941	WT100518 23d Feces	WT100518 Feces	D23	Feces	23	23_Feces
M5180	PEYERMICE25D-FECES1	PEYERMICE-FECES1	D25	Feces	25	25_Feces
M5648	PEYERMICE25D-FECES2	PEYERMICE-FECES2	D25	Feces	25	25_Feces
M5668	PEYERMICE25D-FECES3	PEYERMICE-FECES3	D25	Feces	25	25_Feces
M6392	WT060218 25J Feces	WT060218 Feces	D25	Feces	25	25_Feces
M6396	WT070218 25J Feces	WT070218 Feces	D25	Feces	25	25_Feces
M6945	WT100518 25d Feces	WT100518 Feces	D25	Feces	25	25_Feces
M5184	PEYERMICE28D-FECES1	PEYERMICE-FECES1	D28	Feces	28	28_Feces
M5652	PEYERMICE28D-FECES2	PEYERMICE-FECES2	D28	Feces	28	28_Feces
M5672	PEYERMICE28D-FECES3	PEYERMICE-FECES3	D28	Feces	28	28_Feces
M6400	WT060218 28J Feces	WT060218 Feces	D28	Feces	28	28_Feces
M6404	WT070218 28J Feces	WT070218 Feces	D28	Feces	28	28_Feces
M6949	WT100518 28d Feces	WT100518 Feces	D28	Feces	28	28_Feces
M5656	PEYERMICEAD-FECES2	PEYERMICE-FECES2	D49	Feces	49	49_Feces
M6420	WT070218 49J Feces	WT070218 Feces	D49	Feces	49	49_Feces
M6953	WT100518 49d Feces	WT100518 Feces	D49	Feces	49	49_Feces
M5676	PEYERMICEAD-FECES3	PEYERMICE-FECES3	D49	Feces	49	49_Feces
M5680	PEYERMICEAD-FECES4	PEYERMICE-FECES4	D49	Feces	49	49_Feces
